------------------------------------------------------------------------------------------------------------------------------------------------
 Mult. |                Configurations                  |        Terms       |        Ei           Ek        | gi   gk |    Aki    | Acc. |Type|
  No.  |                                                |                    |      (cm-1)       (cm-1)      |         |    s^-1   |      |    |
       |                                                |                    |                               |         |           |      |    |
------------------------------------------------------------------------------------------------------------------------------------------------
    56 | 3s2.3p5.(2P*<3/2>).4p - 3s2.3p5.(2P*<3/2>).7d  |  2[1/2]  - 2[1/2]* |                               |         |           |      |    |
       |                                                |                    |                               |         |           |      |    |
       |                                                |                    | 104102.0990   -  124526.695   |  3 - 1  | 1.8e+06   | D    |    |
       |                                                |                    | 104102.0990   -  124554.874   |  3 - 3  | 1.3e+06   | D    |    |
       |                                                |                    | 107054.2720   -  124554.874   |  1 - 3  | 8.7e+04   | D    |    |
       |                                                |                    |                               |         |           |      |    |
    57 |                                                |  2[1/2]  - 2[3/2]* |                               |         |           |      |    |
       |                                                |                    |                               |         |           |      |    |
       |                                                |                    | 104102.0990   -  124603.890   |  3 - 5  | 7.8e+05   | D    |    |
       |                                                |                    | 107054.2720   -  124788.22    |  1 - 3  | 9.1e+04   | D    |    |
       |                                                |                    |                               |         |           |      |    |
    58 | 3s2.3p5.(2P*<3/2>).4p - 3s2.3p5.(2P*<3/2>).9s  |  2[1/2]  - 2[3/2]* |                               |         |           |      |    |
       |                                                |                    |                               |         |           |      |    |
       |                                                |                    | 104102.0990   -  124771.59    |  3 - 5  | 1.02e+05  | C    |    |
       |                                                |                    | 107054.2720   -  124782.61    |  1 - 3  | 2.1e+05   | D    |    |
       |                                                |                    |                               |         |           |      |    |
    59 | 3s2.3p5.(2P*<3/2>).4p - 3s2.3p5.(2P*<1/2>).6d  |  2[1/2]  - 2[3/2]* |                               |         |           |      |    |
       |                                                |                    |                               |         |           |      |    |
       |                                                |                    | 104102.0990   -  125066.432   |  3 - 5  | 8.6e+05   | D    |    |
       |                                                |                    |                               |         |           |      |    |
    60 | 3s2.3p5.(2P*<3/2>).4p - 3s2.3p5.(2P*<3/2>).8d  |  2[1/2]  - 2[1/2]* |                               |         |           |      |    |
       |                                                |                    |                               |         |           |      |    |
       |                                                |                    | 104102.0990   -  125162.94    |  3 - 1  | 3.6e+05   | E    |    |
       |                                                |                    | 104102.0990   -  125135.831   |  3 - 3  | 4.5e+05   | E    |    |
